protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
P00749	>sp|P00749|UROK_HUMAN Urokinase-type plasminogen activator OS=Homo sapiens OX=9606 GN=PLAU PE=1 SV=3	PLAU	21.2548555390579	21.9853718822801	22.0554001825072	20.9993818263256	22.0237384838571	21.6120209089623
Q8NHP8	>sp|Q8NHP8|PLBL2_HUMAN Putative phospholipase B-like 2 OS=Homo sapiens OX=9606 GN=PLBD2 PE=1 SV=2	PLBD2	23.3112218666903	22.6156364178127	24.3989769905726	22.7958351639241	22.9029006980666	23.8025835577211
Q01970	>sp|Q01970|PLCB3_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 PE=1 SV=2	PLCB3	19.534007779221	20.2567970270433	19.8174380936406	19.8555078653803	19.9329762180584	19.6867817382233
P51178	>sp|P51178|PLCD1_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 OS=Homo sapiens OX=9606 GN=PLCD1 PE=1 SV=2	PLCD1	18.2841330386941	22.6968997874602	23.4519831498623	18.1724839316395	22.1490409130676	18.575063395234
Q8N3E9	>sp|Q8N3E9|PLCD3_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens OX=9606 GN=PLCD3 PE=1 SV=3	PLCD3	18.8472732042565	19.8336044566376	20.4320325448225	17.6265761096348	19.6362473715472	18.9413425522558
P19174	>sp|P19174|PLCG1_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Homo sapiens OX=9606 GN=PLCG1 PE=1 SV=1	PLCG1	19.7511000612005	19.7256776648215	19.7726860395601	20.2435354203419	19.6991094159752	20.3201238948077
Q4KWH8	>sp|Q4KWH8|PLCH1_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 OS=Homo sapiens OX=9606 GN=PLCH1 PE=1 SV=1	PLCH1	24.1264375277124	24.7062136589176	24.4212120097616	24.3160085216095	24.6498326139555	24.8250357110063
Q8IV08	>sp|Q8IV08|PLD3_HUMAN 5'-3' exonuclease PLD3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1	PLD3	23.4453472030002	23.6000327422013	24.3251060748235	23.4779159941967	24.2586949196996	24.7175663459943
Q15149	>sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	PLEC	24.202512384896	23.7599501819938	23.7435408907612	24.1592358854362	23.8239817250131	24.0999597821134
Q9HAU0	>sp|Q9HAU0|PKHA5_HUMAN Pleckstrin homology domain-containing family A member 5 OS=Homo sapiens OX=9606 GN=PLEKHA5 PE=1 SV=1	PLEKHA5	19.0210091656737	19.0072839863644	19.1221631038969	18.7678894320367	19.1824215270782	19.1699973192465
