protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q96KG9	>sp|Q96KG9|SCYL1_HUMAN N-terminal kinase-like protein OS=Homo sapiens OX=9606 GN=SCYL1 PE=1 SV=1	SCYL1	19.7536942430279	20.073796377296	19.8407231358436	20.5894205342583	19.896409859684	20.1567412643587	20.3645612053349	20.1707610008183
Q6P3W7	>sp|Q6P3W7|SCYL2_HUMAN SCY1-like protein 2 OS=Homo sapiens OX=9606 GN=SCYL2 PE=1 SV=1	SCYL2	20.7863740451928	20.5680656009071	20.832676404	21.1588687355236	20.6565767548846	21.0460441712932	21.0926025361895	20.5734733005042
Q9NVU7	>sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3	SDAD1	22.8599710069046	22.9940012018721	22.2859327414121	22.4103062141605	22.3920289198068	22.0681916828087	22.1217386538233	22.4218058137259
P18827	>sp|P18827|SDC1_HUMAN Syndecan-1 OS=Homo sapiens OX=9606 GN=SDC1 PE=1 SV=3	SDC1	19.59740939266	20.6242107739237	20.5346243788169	19.0752759264557	18.8584903326215	20.0638026372374	19.8951790700414	20.1842927114091
P34741	>sp|P34741|SDC2_HUMAN Syndecan-2 OS=Homo sapiens OX=9606 GN=SDC2 PE=1 SV=2	SDC2	20.4719493845011	20.216030516306	22.332381434279	21.7241431180125	18.9700736794571	19.8790828901965	21.0248272285106	19.6631788088204
O00560	>sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1	SDCBP	22.1998218903886	21.8166342915028	22.1104984050884	21.9111616858577	22.2656659588661	22.1400050671187	21.664386625781	21.7963447906011
Q99470	>sp|Q99470|SDF2_HUMAN Stromal cell-derived factor 2 OS=Homo sapiens OX=9606 GN=SDF2 PE=1 SV=2	SDF2	21.7883652641479	20.8675371533814	21.4901061286533	20.4509517754076	22.1823506908303	21.4161183976508	21.7808605454607	22.1583584814178
Q9HCN8	>sp|Q9HCN8|SDF2L_HUMAN Stromal cell-derived factor 2-like protein 1 OS=Homo sapiens OX=9606 GN=SDF2L1 PE=1 SV=2	SDF2L1	20.8191678661712	20.6647291827314	20.4959496702728	20.6617863271237	21.2363207643577	20.9074425221877	20.900200842457	21.3772673375461
Q9BRK5	>sp|Q9BRK5|CAB45_HUMAN 45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=1 SV=1	SDF4	22.9368420928169	22.1840877640897	22.1801722163522	21.7603189710647	22.7223704743312	22.3814123031249	21.9437006173192	22.6866640288704
P31040	>sp|P31040|SDHA_HUMAN Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHA PE=1 SV=2	SDHA	23.1289143150823	22.9821879978324	23.081011193751	22.8020831117826	23.0392189735471	22.7268964153705	22.8453349940149	22.7884884907716
