protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
P07711	>sp|P07711|CATL1_HUMAN Procathepsin L OS=Homo sapiens OX=9606 GN=CTSL PE=1 SV=2	CTSL	23.0013145087912	22.2863976839013	22.4319218826926	22.3002579602956	22.3881304349056	22.8602948537812	23.4520527450085
Q14247	>sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2	CTTN	21.8410538631947	22.6854558648454	22.4914984741371	22.6975330740744	23.7642067183781	23.7906885756006	23.9457156176286
Q13616	>sp|Q13616|CUL1_HUMAN Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2	CUL1	21.091378917096	22.0381846328908	21.3228256208418	18.8544079863851	20.3587626497021	18.961469083127	18.9533156333256
Q13617	>sp|Q13617|CUL2_HUMAN Cullin-2 OS=Homo sapiens OX=9606 GN=CUL2 PE=1 SV=2	CUL2	20.1196386130121	19.4097211053185	20.1494001547931	20.4215629620337	20.2709314015091	19.6349175076552	19.6605123204931
Q13618	>sp|Q13618|CUL3_HUMAN Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2	CUL3	19.9716357232477	20.1657037121009	19.6679101799872	19.7231619323285	19.5321020934786	19.1449340314955	19.4242742716063
Q13619	>sp|Q13619|CUL4A_HUMAN Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3	CUL4A	20.6166201330107	20.8726819980969	20.3655446982449	21.0843413771575	20.3310872416727	20.4879035906524	20.4851502086841
Q13620	>sp|Q13620|CUL4B_HUMAN Cullin-4B OS=Homo sapiens OX=9606 GN=CUL4B PE=1 SV=4	CUL4B	21.5256025202864	21.9524113913124	21.8805986067298	21.7626821233842	20.744779218162	20.1104437231464	20.6717323397984
Q93034	>sp|Q93034|CUL5_HUMAN Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4	CUL5	18.7350613419441	18.5093037029976	18.2819982973348	18.5841903306216	19.0372524166259	18.4511726976338	18.8472822101657
Q9NTM9	>sp|Q9NTM9|CUTC_HUMAN Copper homeostasis protein cutC homolog OS=Homo sapiens OX=9606 GN=CUTC PE=1 SV=1	CUTC	20.8096504289058	20.1910644733188	20.7991780312888	20.329563765112	19.1710174001924	18.9699780461655	19.0000951809886
Q9HCG8	>sp|Q9HCG8|CWC22_HUMAN Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens OX=9606 GN=CWC22 PE=1 SV=3	CWC22	18.4405203021912	18.5430878274389	18.0405594772642	18.5132736948255	17.9043760637848	18.1702615124948	17.222388813041
P78310	>sp|P78310|CXAR_HUMAN Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1	CXADR	17.7170805267294	18.9749960534522	18.1652773540223	16.5270021373114	15.3671931103141	17.0251258662635	18.4479409386337
O43169	>sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3	CYB5B	22.1429939100558	22.2525824061915	22.1174741061487	22.0309464081848	21.9847846257599	21.8573017328782	21.4175101776128
