protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q7L9L4;Q9H8S9	>sp|Q7L9L4|MOB1B_HUMAN MOB kinase activator 1B OS=Homo sapiens OX=9606 GN=MOB1B PE=1 SV=3;>sp|Q9H8S9|MOB1A_HUMAN MOB kinase activator 1A OS=Homo sapiens OX=9606 GN=MOB1A PE=1 SV=4	MOB1B;MOB1A	22.2655727032098	21.6640625724112	22.0839418706566	22.0383309317202	22.6756567735325	22.6943981684067	22.3342479371605
Q96BX8	>sp|Q96BX8|MOB3A_HUMAN MOB kinase activator 3A OS=Homo sapiens OX=9606 GN=MOB3A PE=1 SV=1	MOB3A	17.2181103703312	17.2857664932798	16.3284771993781		17.7532633572636	17.3235182347923	16.7391054064911
Q9Y3A3	>sp|Q9Y3A3|PHOCN_HUMAN MOB-like protein phocein OS=Homo sapiens OX=9606 GN=MOB4 PE=1 SV=1	MOB4	22.6832782790978	22.4609222530101	22.742382388912	22.8073574259162	22.9761669649155	22.8842057977656	22.7499323030541
O95396	>sp|O95396|MOCS3_HUMAN Adenylyltransferase and sulfurtransferase MOCS3 OS=Homo sapiens OX=9606 GN=MOCS3 PE=1 SV=1	MOCS3	18.5623064108161	19.1458452043524	18.5491979684247	19.1984793529222	19.0484181473212	18.3358763093548	18.305029168238
Q13724	>sp|Q13724|MOGS_HUMAN Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5	MOGS	24.0557727730123	23.6729109068335	24.2986638177045	24.1946211400606	23.405306287448	23.4145670091126	23.9858435704336
Q7Z3U7	>sp|Q7Z3U7|MON2_HUMAN Protein MON2 homolog OS=Homo sapiens OX=9606 GN=MON2 PE=1 SV=3	MON2	20.6265866486633	19.6162631897369	20.7391954567498	20.3673198348921	20.8626385388975	21.0477461187758	20.4291962450645
Q14149	>sp|Q14149|MORC3_HUMAN MORC family CW-type zinc finger protein 3 OS=Homo sapiens OX=9606 GN=MORC3 PE=1 SV=3	MORC3	18.4032742585985	18.0969291138782	18.6970961048571	18.6956259476303	19.3052434987658	19.1270442744218	18.1732104041828
Q15014	>sp|Q15014|MO4L2_HUMAN Mortality factor 4-like protein 2 OS=Homo sapiens OX=9606 GN=MORF4L2 PE=1 SV=1	MORF4L2	20.354679669396	19.6578967895372	20.1482021115282	20.1969211352533	20.3508947755194	20.2686810782295	20.0400524671722
Q8NHP6	>sp|Q8NHP6|MSPD2_HUMAN Motile sperm domain-containing protein 2 OS=Homo sapiens OX=9606 GN=MOSPD2 PE=1 SV=1	MOSPD2	18.8061639668983	18.9386604692942	18.7202484002986	18.7179266908768		18.2748974186404	18.0685001322972
Q9HCE1	>sp|Q9HCE1|MOV10_HUMAN Helicase MOV-10 OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=2	MOV10	21.0626045411956	20.7686114440428	21.1825420033893	20.8485866780922	21.3802749689617	21.0121249028664	20.9488911017454
