protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng
P22570	>sp|P22570|ADRO_HUMAN NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=FDXR PE=1 SV=3	FDXR	22.466560159025	22.2129823460327	22.8387295029733	22.9052533559447	22.2274123229076	21.6712050748094	21.1093011532151
P22830	>sp|P22830|HEMH_HUMAN Ferrochelatase, mitochondrial OS=Homo sapiens OX=9606 GN=FECH PE=1 SV=2	FECH	20.747217854617	20.651491488028	20.3447335766027	20.8097737055281	20.7727662700943	20.2325349310434	20.0665674974563
P39748	>sp|P39748|FEN1_HUMAN Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1	FEN1	19.7302714536663	20.5744809773085	19.3856197131589	19.6720181037748	20.065722361967	21.684925292069	20.9915934442971
Q2WGJ9	>sp|Q2WGJ9|FR1L6_HUMAN Fer-1-like protein 6 OS=Homo sapiens OX=9606 GN=FER1L6 PE=2 SV=2	FER1L6	23.7674886134002	23.5368390290818	23.1122827113738	23.4280504086604	23.7217606359778		23.696644922233
Q96AC1	>sp|Q96AC1|FERM2_HUMAN Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1	FERMT2	22.5236949374148	23.3382050391746	22.7241298957674	22.4665594893243	22.7742763584789	23.5144403874373	24.178722343307
Q99689	>sp|Q99689|FEZ1_HUMAN Fasciculation and elongation protein zeta-1 OS=Homo sapiens OX=9606 GN=FEZ1 PE=1 SV=1	FEZ1	18.2186827612892	16.805284020016	21.5351910591523	18.6061195155275	17.0746422985738	18.7947208446887	18.4434409619371
P02675	>sp|P02675|FIBB_HUMAN Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2	FGB	21.7039821013047	23.5968184306092	24.4790777188897	22.8424134396335	22.8673045732828	22.6502908318047	22.3377391707544
P02679	>sp|P02679|FIBG_HUMAN Fibrinogen gamma chain OS=Homo sapiens OX=9606 GN=FGG PE=1 SV=3	FGG	17.6248455786873	20.4626334257303	21.4692105280672	18.4739138392527	19.0946067879627	19.9154412159729	18.4505683280268
P07954	>sp|P07954|FUMH_HUMAN Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3	FH	23.759204838955	23.513454574058	23.5017929497475	24.1121132038252	23.683790404559	23.4714373678388	23.5399058381227
Q9C0D6	>sp|Q9C0D6|FHDC1_HUMAN FH2 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FHDC1 PE=1 SV=2	FHDC1	22.0492998153863	22.6398703653622	23.6734959065923	22.1702673399267	20.9400048798368	21.9386710446407	21.0075261351853
