protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q8N465	>sp|Q8N465|D2HDH_HUMAN D-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=D2HGDH PE=1 SV=3	D2HGDH	18.4966593440708	19.1827912004895		18.7901593845797	17.811443563864	18.6559746248916	18.0300670062565	
P98082	>sp|P98082|DAB2_HUMAN Disabled homolog 2 OS=Homo sapiens OX=9606 GN=DAB2 PE=1 SV=3	DAB2	22.4749506841824	21.4441972289868	21.5148565477266	21.3353853878023	21.0151547842971	20.8742140871559	21.9198213742563	21.5010285367854
P61803	>sp|P61803|DAD1_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 OS=Homo sapiens OX=9606 GN=DAD1 PE=1 SV=3	DAD1	24.4883874376362	23.8673736706457	23.7842177702634	23.7877617746049	23.228321078047	23.2713668743404	23.1649867861613	23.4372435431055
P51398	>sp|P51398|RT29_HUMAN Small ribosomal subunit protein mS29 OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1	DAP3	21.6315368841186	21.224190954729	21.635312671152	21.4424613420612	21.4401183576977	21.0276564026112	20.8754948388295	21.1930514096492
P14868	>sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	DARS1	23.4474447561491	23.1816211220777	23.1380855202914	23.8244689316504	22.6895422623557	22.7247536596921	22.9654506945886	22.5676597091695
Q6PI48	>sp|Q6PI48|SYDM_HUMAN Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=DARS2 PE=1 SV=1	DARS2	18.9340229287675	18.7361533650651	19.4133469956033	18.8657163407067	21.3660730135891	21.2214779974964	20.7569841921607	20.5929535684822
Q96EP5	>sp|Q96EP5|DAZP1_HUMAN DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1	DAZAP1	21.7881199466782	22.3575450876397	22.3004232341655	22.5328562185768	24.0407807268197	24.2713769445319	24.3230879642645	23.9162022069965
P07108	>sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2	DBI	22.6033693569635	23.9897568858317	22.4290264901216	22.9066137353057	22.9481717524705	23.0595162289194	23.8380508271765	23.6682067438674
Q16643	>sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4	DBN1	21.1856039235125	20.7147272243653	21.4811864631468	21.3588761064005	24.2622968495111	23.9128934968326	24.0796309154751	24.4492351129533
P11182	>sp|P11182|ODB2_HUMAN Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=3	DBT	21.5753368058293	20.6326523623114	21.8119561059135	21.4202559646655	21.5472845655077	21.0309291080772	21.0348678860163	20.7092462654158
P61962	>sp|P61962|DCAF7_HUMAN DDB1- and CUL4-associated factor 7 OS=Homo sapiens OX=9606 GN=DCAF7 PE=1 SV=1	DCAF7	21.8234883376821	21.2195116478627	22.0608224060088	22.0434660651375	21.6635477910543	21.5947471070687	21.3553925173567	21.5057639505857
Q5TAQ9	>sp|Q5TAQ9|DCAF8_HUMAN DDB1- and CUL4-associated factor 8 OS=Homo sapiens OX=9606 GN=DCAF8 PE=1 SV=1	DCAF8	21.7378229697392	21.4356165016616	21.0076033363632	21.2621021342246	20.4694161012039	19.8195383269576	19.9988802962999	19.9210170809303
Q8WVC6	>sp|Q8WVC6|DCAKD_HUMAN Dephospho-CoA kinase domain-containing protein OS=Homo sapiens OX=9606 GN=DCAKD PE=1 SV=1	DCAKD	20.5801481860899	19.358035548457	20.7772030730191	20.4885805914987	20.6242383963478	20.6672589776154	20.904591139747	20.8612623815378
Q96PD2	>sp|Q96PD2|DCBD2_HUMAN Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens OX=9606 GN=DCBLD2 PE=1 SV=1	DCBLD2	20.2983002771675	19.7167685316247	19.410648178499	18.9983342123372	18.7301066025	18.9347092492034	18.6076255737009	19.567212040898
P81605	>sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2	DCD	23.3934231649092	24.88952045019	23.5738547165968	23.1824323132232	22.2393709312511	21.6687949377198	21.4334979360177	22.141524658344
O15075	>sp|O15075|DCLK1_HUMAN Serine/threonine-protein kinase DCLK1 OS=Homo sapiens OX=9606 GN=DCLK1 PE=1 SV=2	DCLK1	21.6560020005997	23.2508794934575	22.8923221905031	22.0603582749976	24.5018833246221	24.0525853220372	22.069903447228	22.4812369527948
Q96C86	>sp|Q96C86|DCPS_HUMAN m7GpppX diphosphatase OS=Homo sapiens OX=9606 GN=DCPS PE=1 SV=2	DCPS	19.254574540711	19.2281800073924	19.4367153043067	19.0067581021725	21.8731252751728	21.9634703149205	21.787906367667	21.0389330061072
P32321	>sp|P32321|DCTD_HUMAN Deoxycytidylate deaminase OS=Homo sapiens OX=9606 GN=DCTD PE=1 SV=2	DCTD	20.580459892168	19.4413623778184	20.2075905651548	20.8656725224382	19.8073565232986	21.2526192711491	20.6357768573058	20.3469419243807
Q14203	>sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3	DCTN1	21.5615918738861	21.9648982528566	21.6847528095308	21.7062202488122	22.1595043772044	22.3890594374879	22.4623744502836	22.3583931795773
Q13561	>sp|Q13561|DCTN2_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4	DCTN2	21.0312879086638	22.2882053344909	21.5100585928986	21.676818998124	22.9164744945817	22.9676570106412	23.0722089476083	22.9079959815593
O75935	>sp|O75935|DCTN3_HUMAN Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1	DCTN3	23.1739271663703	23.935616010625	23.4159364045137	23.4994336763763	22.4977327440804	22.9739277847377	22.7077495886375	22.6711669886083
Q9UJW0	>sp|Q9UJW0|DCTN4_HUMAN Dynactin subunit 4 OS=Homo sapiens OX=9606 GN=DCTN4 PE=1 SV=1	DCTN4	20.327432200588	20.6210327365145	20.3929564008949	20.7894203596774	21.4649423247916	21.9943519501567	21.4475668506363	21.7399852836618
Q96GG9	>sp|Q96GG9|DCNL1_HUMAN DCN1-like protein 1 OS=Homo sapiens OX=9606 GN=DCUN1D1 PE=1 SV=1	DCUN1D1	20.4939218980114	20.5331613709755	21.0496274722679	20.5749133964036	19.5882048813501	20.3212273321962	20.0365329785433	19.7285953221541
Q8IWE4	>sp|Q8IWE4|DCNL3_HUMAN DCN1-like protein 3 OS=Homo sapiens OX=9606 GN=DCUN1D3 PE=1 SV=1	DCUN1D3	18.0345828269388	18.1775489626711	17.1279554237106	18.0819255048863	18.8078855803602	19.1725206939336	18.6099376154383	18.8573722812414
Q7Z4W1	>sp|Q7Z4W1|DCXR_HUMAN L-xylulose reductase OS=Homo sapiens OX=9606 GN=DCXR PE=1 SV=2	DCXR	19.3877435421991		19.4100963113129	19.4288922718744	21.9705009717835	21.2847998117965	21.4126319522303	21.366734503189
O94760	>sp|O94760|DDAH1_HUMAN N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens OX=9606 GN=DDAH1 PE=1 SV=3	DDAH1	22.0645399574307	20.8485172396522	22.5473996336472	21.8602918236041	20.6393946899427	20.4153312157482	20.8937878933758	19.9290494151837
O95865	>sp|O95865|DDAH2_HUMAN Putative hydrolase DDAH2 OS=Homo sapiens OX=9606 GN=DDAH2 PE=1 SV=1	DDAH2	23.765888795147	24.0469084712573	24.3699837487655	24.18053362165	22.9864714785444	23.014359922372	22.4448872819453	22.2168146270022
Q16531	>sp|Q16531|DDB1_HUMAN DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1	DDB1	22.5461093574893	22.1042085804254	22.3390368111889	22.5299441139329	21.8788285647262	22.082887358956	21.8485072791935	21.7348480874301
Q92466	>sp|Q92466|DDB2_HUMAN DNA damage-binding protein 2 OS=Homo sapiens OX=9606 GN=DDB2 PE=1 SV=1	DDB2	22.174648396716	22.1723385421461	22.1512191486897	21.7855976559657	21.5478454091989	20.9580227378743	20.5774093681563	19.9457763209513
P39656	>sp|P39656|OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4	DDOST	25.0536142677586	24.355163691595	24.4392425660188	24.2425013446747	24.4156772103783	24.0724611188531	24.3721148628184	24.8120945700336
P30046	>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3	DDT	25.4557762068628	25.487555330603	25.5382152759877	25.6279203855291	23.1194802349812	23.4594064826486	23.0460308031654	22.8241725995833
Q92499	>sp|Q92499|DDX1_HUMAN ATP-dependent RNA helicase DDX1 OS=Homo sapiens OX=9606 GN=DDX1 PE=1 SV=2	DDX1	22.606365953433	21.975860685495	22.5346449271701	22.73322047373	22.4996780608719	22.7878948909633	22.9555022293643	22.7489648839255
Q92841	>sp|Q92841|DDX17_HUMAN Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2	DDX17	21.7029931591295	22.486776254466	21.9362786402948	22.1921081188571	23.6849675208405	23.7599631235802	23.4671448536573	23.5060862427142
Q9NVP1	>sp|Q9NVP1|DDX18_HUMAN ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2	DDX18	20.9352410557017	21.4047625012882	20.9111531023326	21.2217390614125	21.7631846532372	21.7815548238632	21.8958817755779	21.7178338700686
Q9NUU7	>sp|Q9NUU7|DD19A_HUMAN ATP-dependent RNA helicase DDX19A OS=Homo sapiens OX=9606 GN=DDX19A PE=1 SV=1	DDX19A	20.6187335771016	20.8779253644316	20.3507430522436	20.8727734319891	21.4067088958107	21.802058097801	22.1413687823957	21.2834742181296
Q9UMR2	>sp|Q9UMR2|DD19B_HUMAN ATP-dependent RNA helicase DDX19B OS=Homo sapiens OX=9606 GN=DDX19B PE=1 SV=1	DDX19B	18.2572486760921	19.8505939894765	18.166292652165	18.769314164729	18.8541030302179	19.4110248734922	18.4750442733713	17.8140020622985
Q9NR30	>sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	DDX21	20.5686555522696	20.4407298321939	20.8121554761829	21.1809350996862	21.6291044439999	21.9197693067127	22.5948906803119	21.8880794852455
Q9BUQ8	>sp|Q9BUQ8|DDX23_HUMAN Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3	DDX23	21.9488603356859	21.2893390594382	21.8259613122114	21.7875381409491	22.9126360118381	22.7149484760407	22.3997231127679	22.2433365516901
Q9NUL7	>sp|Q9NUL7|DDX28_HUMAN Probable ATP-dependent RNA helicase DDX28 OS=Homo sapiens OX=9606 GN=DDX28 PE=1 SV=2	DDX28	18.5190364434359	18.4053029748498	17.7313110359931	17.650025544763	17.3115789599303	16.7191889467145	16.1266148047967	16.3797294540825
O00148	>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	DDX39A	20.1397642403444	20.0372161291419	19.7131837469601	20.7168624928646	20.0224155669326	20.5703421841998	21.3139981975245	19.9453921298116
Q13838	>sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1	DDX39B	22.8633727811621	23.383216480092	22.9233621405307	23.0804059181773	24.1155651098601	24.2803934028337	24.1190234721032	23.8383309813588
O00571	>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3	DDX3X	19.0687270492801	20.0543729628294	20.333546429709	20.1775022318846	22.4200936637833	22.1159892305359	22.5351167730578	22.3431909334971
Q9UJV9	>sp|Q9UJV9|DDX41_HUMAN Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2	DDX41	20.7504016339448	20.7651901820751	21.0182964639443	21.0617349934502	20.5698976700885	20.2216969013446	20.0320136783376	19.6463431326924
Q86XP3	>sp|Q86XP3|DDX42_HUMAN ATP-dependent RNA helicase DDX42 OS=Homo sapiens OX=9606 GN=DDX42 PE=1 SV=1	DDX42	23.7733958202312	23.7930741595189	23.4868236031684	23.6929886347304	22.2104621967317	22.7746541818886	22.7426116263957	22.5964569699853
Q7L014	>sp|Q7L014|DDX46_HUMAN Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2	DDX46	20.2612227917624	20.0011728148156	20.0365502542199	20.1687747581655	21.1855049826078	20.9088327539742	21.0004649665344	20.8982678490473
P17844	>sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1	DDX5	20.4691419976402	21.439871142856	20.8490036514522	21.1383923413177	25.488549857336	25.7502723390228	25.6058370418984	25.4026244036022
Q9BQ39	>sp|Q9BQ39|DDX50_HUMAN ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1	DDX50	19.5902606268429	19.1533148900414	19.4595004735006	19.8953961225902	19.9149643785034	19.6745446623278	19.5342730562393	19.2292164150858
Q8TDD1	>sp|Q8TDD1|DDX54_HUMAN ATP-dependent RNA helicase DDX54 OS=Homo sapiens OX=9606 GN=DDX54 PE=1 SV=2	DDX54	21.9577395813363	21.4760757214515	22.1652444327909	21.8557526284951	22.1037781604358		21.9576222006579	21.201173276297
P26196	>sp|P26196|DDX6_HUMAN Probable ATP-dependent RNA helicase DDX6 OS=Homo sapiens OX=9606 GN=DDX6 PE=1 SV=2	DDX6	21.7186749167987	21.5298688910423	21.3098458336935	21.6250161880516	21.5387444231326	21.9832966349571	22.0754838027854	21.7729546320067
